date;annee;mois;jour;jour_semaine;saison;jour_ferie;temperature_C;humidite_pct;vitesse_vent_kmh;production_totale_MWh;ventes_totales_MWh;ventes_BT_MWh;ventes_MT_MWh;ventes_HT_MWh;pointe_max_mois_MW;taux_thermique_pct;taux_renouvelable_pct;nb_clients;prix_moyen_FCFA_kWh;conso_J_moins_1;conso_J_moins_7;conso_mois_precedent
01/01/2022;2022;1;1;6;Saison_fraiche;1;23.0;64.3;21.0;9975.18;9658.39;5852.18;2477.31;948.62;677;78.6;21.4;2198624;110.18;17892.95;17892.95;17892.95
02/01/2022;2022;1;2;7;Saison_fraiche;0;21.5;63.8;19.5;11879.64;9777.01;5924.06;2507.74;960.27;677;78.6;21.4;2198624;110.18;9975.18;17892.95;17892.95
03/01/2022;2022;1;3;1;Saison_fraiche;0;21.1;67.7;17.1;11844.82;9748.35;5906.69;2500.39;957.46;677;78.6;21.4;2198624;110.18;11879.64;17892.95;17892.95
04/01/2022;2022;1;4;2;Saison_fraiche;0;22.5;55.4;16.9;11486.45;9453.42;5727.99;2424.74;928.49;677;78.6;21.4;2198624;110.18;11844.82;17892.95;17892.95
05/01/2022;2022;1;5;3;Saison_fraiche;0;20.0;66.6;15.2;11426.37;9403.96;5698.02;2412.06;923.63;677;78.6;21.4;2198624;110.18;11486.45;17892.95;17892.95
06/01/2022;2022;1;6;4;Saison_fraiche;0;24.9;63.9;15.2;12833.75;10562.25;6399.85;2709.15;1037.4;677;78.6;21.4;2198624;110.18;11426.37;17892.95;17892.95
07/01/2022;2022;1;7;5;Saison_fraiche;0;20.9;65.6;18.8;11476.21;9444.99;5722.88;2422.58;927.66;677;78.6;21.4;2198624;110.18;12833.75;17892.95;17892.95
08/01/2022;2022;1;8;6;Saison_fraiche;0;20.8;63.5;21.7;10784.03;8875.31;5377.7;2276.46;871.71;677;78.6;21.4;2198624;110.18;11476.21;9975.18;17892.95
09/01/2022;2022;1;9;7;Saison_fraiche;0;22.0;59.7;15.6;11632.8;9573.86;5800.96;2455.63;940.32;677;78.6;21.4;2198624;110.18;10784.03;11879.64;17892.95
10/01/2022;2022;1;10;1;Saison_fraiche;0;22.4;55.2;18.4;11664.04;9599.57;5816.54;2462.23;942.84;677;78.6;21.4;2198624;110.18;11632.8;11844.82;17892.95
11/01/2022;2022;1;11;2;Saison_fraiche;0;23.5;65.9;17.4;12472.03;10264.55;6219.47;2632.79;1008.16;677;78.6;21.4;2198624;110.18;11664.04;11486.45;17892.95
12/01/2022;2022;1;12;3;Saison_fraiche;0;19.0;61.4;20.1;11449.82;9423.27;5709.72;2417.01;925.53;677;78.6;21.4;2198624;110.18;12472.03;11426.37;17892.95
13/01/2022;2022;1;13;4;Saison_fraiche;0;22.7;56.2;17.2;12536.61;10317.7;6251.67;2646.42;1013.38;677;78.6;21.4;2198624;110.18;11449.82;12833.75;17892.95
14/01/2022;2022;1;14;5;Saison_fraiche;0;20.6;68.1;19.9;12466.13;10259.7;6216.52;2631.55;1007.68;677;78.6;21.4;2198624;110.18;12536.61;11476.21;17892.95
15/01/2022;2022;1;15;6;Saison_fraiche;0;20.3;63.5;20.0;11106.78;9140.94;5538.65;2344.59;897.8;677;78.6;21.4;2198624;110.18;12466.13;10784.03;17892.95
16/01/2022;2022;1;16;7;Saison_fraiche;0;21.0;64.1;15.6;10594.79;8719.57;5283.34;2236.51;856.41;677;78.6;21.4;2198624;110.18;11106.78;11632.8;17892.95
17/01/2022;2022;1;17;1;Saison_fraiche;0;23.6;71.8;20.0;12513.07;10298.33;6239.93;2641.45;1011.48;677;78.6;21.4;2198624;110.18;10594.79;11664.04;17892.95
18/01/2022;2022;1;18;2;Saison_fraiche;0;22.7;61.8;21.1;12555.08;10332.9;6260.88;2650.32;1014.87;677;78.6;21.4;2198624;110.18;12513.07;12472.03;17892.95
19/01/2022;2022;1;19;3;Saison_fraiche;0;21.9;72.8;19.6;10941.57;9004.98;5456.27;2309.72;884.45;677;78.6;21.4;2198624;110.18;12555.08;11449.82;17892.95
20/01/2022;2022;1;20;4;Saison_fraiche;0;22.2;63.5;14.0;12325.11;10143.63;6146.2;2601.78;996.28;677;78.6;21.4;2198624;110.18;10941.57;12536.61;17892.95
21/01/2022;2022;1;21;5;Saison_fraiche;0;21.6;66.8;17.0;12883.79;10603.43;6424.8;2719.71;1041.44;677;78.6;21.4;2198624;110.18;12325.11;12466.13;17892.95
22/01/2022;2022;1;22;6;Saison_fraiche;0;20.4;62.5;18.7;11381.24;9366.82;5675.52;2402.53;919.98;677;78.6;21.4;2198624;110.18;12883.79;11106.78;17892.95
23/01/2022;2022;1;23;7;Saison_fraiche;0;20.9;67.6;19.9;11110.65;9144.12;5540.58;2345.41;898.11;677;78.6;21.4;2198624;110.18;11381.24;10594.79;17892.95
24/01/2022;2022;1;24;1;Saison_fraiche;0;20.6;63.4;15.1;11784.61;9698.8;5876.67;2487.68;952.59;677;78.6;21.4;2198624;110.18;11110.65;12513.07;17892.95
25/01/2022;2022;1;25;2;Saison_fraiche;0;22.6;66.3;17.5;12359.47;10171.91;6163.34;2609.03;999.06;677;78.6;21.4;2198624;110.18;11784.61;12555.08;17892.95
26/01/2022;2022;1;26;3;Saison_fraiche;0;19.2;62.9;16.4;11542.77;9499.76;5756.07;2436.63;933.04;677;78.6;21.4;2198624;110.18;12359.47;10941.57;17892.95
27/01/2022;2022;1;27;4;Saison_fraiche;0;21.7;67.0;18.3;13103.14;10783.96;6534.18;2766.01;1059.17;677;78.6;21.4;2198624;110.18;11542.77;12325.11;17892.95
28/01/2022;2022;1;28;5;Saison_fraiche;0;22.5;64.6;17.9;11390.79;9374.68;5680.28;2404.54;920.76;677;78.6;21.4;2198624;110.18;13103.14;12883.79;17892.95
29/01/2022;2022;1;29;6;Saison_fraiche;0;22.1;77.3;18.6;11193.15;9212.02;5581.72;2362.82;904.78;677;78.6;21.4;2198624;110.18;11390.79;11381.24;17892.95
30/01/2022;2022;1;30;7;Saison_fraiche;0;21.9;59.2;19.5;11758.58;9677.38;5863.69;2482.18;950.49;677;78.6;21.4;2198624;110.18;11193.15;11110.65;17892.95
31/01/2022;2022;1;31;1;Saison_fraiche;0;23.6;60.5;15.2;13253.38;10907.6;6609.1;2797.73;1071.32;677;78.6;21.4;2198624;110.18;11758.58;11784.61;9975.18
01/02/2022;2022;2;1;2;Saison_fraiche;0;23.2;79.0;17.9;13300.69;10946.54;6632.69;2807.72;1075.14;679;78.6;21.4;2198624;110.18;13253.38;12359.47;11879.64
