date,Consommation_kWh,Température,Humidité,Heure,Jour_semaine,Jour_férié,Type_bâtiment,Surface,Occupants,Consommation_J-1,Consommation_H-1
2016-01-12 17:00:00,1.31,6.041666666666667,79.16666666666667,17,2,0,Résidentiel,375,1,0.33,0.24
2016-01-12 18:00:00,0.35,5.1499999999999995,87.5,18,2,0,Commercial,256,1,1.06,1.31
2016-01-12 19:00:00,0.33,4.675,91.83333333333333,19,2,0,Résidentiel,136,4,1.04,0.35
2016-01-12 20:00:00,0.31,4.583333333333333,92.16666666666667,20,2,0,Résidentiel,282,4,0.75,0.33
2016-01-12 21:00:00,0.25,4.95,89.75,21,2,0,Commercial,264,4,0.62,0.31
2016-01-12 22:00:00,0.28,5.383333333333333,86.33333333333333,22,2,0,Commercial,200,2,1.6,0.25
2016-01-12 23:00:00,0.26,5.708333333333333,82.33333333333333,23,2,0,Résidentiel,305,4,0.34,0.28
2016-01-13 00:00:00,0.19,5.708333333333333,83.33333333333333,0,3,0,Résidentiel,281,1,0.85,0.26
2016-01-13 01:00:00,0.29,5.3,89.25,1,3,0,Commercial,295,6,1.01,0.19
2016-01-13 02:00:00,0.27,5.383333333333333,90.16666666666667,2,3,0,Résidentiel,122,6,0.27,0.29
2016-01-13 03:00:00,0.19,5.458333333333333,89.0,3,3,0,Commercial,102,3,0.21,0.27
2016-01-13 04:00:00,0.27,5.316666666666666,89.41666666666667,4,3,0,Commercial,234,4,0.27,0.19
2016-01-13 05:00:00,0.25,5.116666666666666,90.0,5,3,0,Commercial,265,6,0.26,0.27
2016-01-13 06:00:00,0.4,5.041666666666667,89.58333333333333,6,3,0,Résidentiel,328,4,0.24,0.25
2016-01-13 07:00:00,0.38,5.058333333333333,89.41666666666667,7,3,0,Résidentiel,316,3,0.34,0.4
2016-01-13 08:00:00,1.25,5.0,89.16666666666667,8,3,0,Commercial,372,6,0.52,0.38
2016-01-13 09:00:00,1.32,5.0,88.0,9,3,0,Commercial,213,1,0.26,1.25
2016-01-13 10:00:00,0.4,5.208333333333333,85.08333333333333,10,3,0,Commercial,101,2,1.38,1.32
2016-01-13 11:00:00,0.36,5.708333333333333,78.91666666666667,11,3,0,Résidentiel,167,4,0.33,0.4
2016-01-13 12:00:00,0.25,5.791666666666667,76.83333333333333,12,3,0,Résidentiel,232,6,1.12,0.36
2016-01-13 13:00:00,0.21,6.083333333333333,75.08333333333333,13,3,0,Commercial,204,6,0.91,0.25
2016-01-13 14:00:00,0.27,6.6499999999999995,70.16666666666667,14,3,0,Commercial,158,3,0.82,0.21
2016-01-13 15:00:00,0.25,6.341666666666666,66.5,15,3,0,Industriel,130,1,0.22,0.27
2016-01-13 16:00:00,0.48,5.816666666666666,66.33333333333333,16,3,0,Commercial,295,5,0.24,0.25
2016-01-13 17:00:00,0.58,4.458333333333333,73.5,17,3,0,Résidentiel,255,6,1.31,0.48
2016-01-13 18:00:00,0.67,3.283333333333333,82.0,18,3,0,Commercial,332,2,0.35,0.58
2016-01-13 19:00:00,1.28,2.908333333333333,88.58333333333333,19,3,0,Commercial,325,3,0.33,0.67
2016-01-13 20:00:00,1.49,3.1166666666666667,88.41666666666667,20,3,0,Résidentiel,306,6,0.31,1.28
2016-01-13 21:00:00,1.88,2.875,88.58333333333333,21,3,0,Commercial,185,6,0.25,1.49
2016-01-13 22:00:00,0.79,2.908333333333333,87.16666666666667,22,3,0,Résidentiel,272,3,0.28,1.88
2016-01-13 23:00:00,0.25,3.033333333333333,87.25,23,3,0,Résidentiel,395,3,0.26,0.79
2016-01-14 00:00:00,0.28,2.841666666666667,89.41666666666667,0,4,0,Commercial,381,4,0.19,0.25
2016-01-14 01:00:00,0.22,2.858333333333333,91.25,1,4,0,Résidentiel,115,6,0.29,0.28
2016-01-14 02:00:00,0.26,2.966666666666667,91.33333333333333,2,4,0,Résidentiel,283,5,0.27,0.22
2016-01-14 03:00:00,0.27,3.283333333333333,89.0,3,4,0,Résidentiel,346,2,0.19,0.26
2016-01-14 04:00:00,0.21,3.358333333333333,89.41666666666667,4,4,0,Résidentiel,347,1,0.27,0.27
2016-01-14 05:00:00,0.27,3.341666666666667,90.0,5,4,0,Résidentiel,249,1,0.25,0.21
2016-01-14 06:00:00,0.24,3.65,89.58333333333333,6,4,0,Résidentiel,118,5,0.4,0.27
2016-01-14 07:00:00,1.36,3.875,90.25,7,4,0,Industriel,218,3,0.38,0.24
2016-01-14 08:00:00,0.96,2.6999999999999997,94.5,8,4,0,Résidentiel,371,3,1.25,1.36
2016-01-14 09:00:00,1.01,1.55,96.75,9,4,0,Résidentiel,131,3,1.32,0.96
2016-01-14 10:00:00,3.23,2.0666666666666664,94.16666666666667,10,4,0,Résidentiel,366,6,0.4,1.01
2016-01-14 11:00:00,1.43,2.5500000000000003,92.58333333333333,11,4,0,Commercial,368,3,0.36,3.23
2016-01-14 12:00:00,1.7,3.4416666666666664,90.33333333333333,12,4,0,Résidentiel,220,3,0.25,1.43
2016-01-14 13:00:00,0.42,4.45,86.75,13,4,0,Commercial,225,6,0.21,1.7
2016-01-14 14:00:00,0.78,5.091666666666666,84.58333333333333,14,4,1,Commercial,393,6,0.27,0.42
2016-01-14 15:00:00,0.31,5.458333333333333,81.91666666666667,15,4,0,Commercial,263,5,0.25,0.78
2016-01-14 16:00:00,1.85,5.066666666666666,77.75,16,4,0,Résidentiel,231,4,0.48,0.31
2016-01-14 17:00:00,2.43,4.558333333333333,76.0,17,4,0,Commercial,280,6,0.58,1.85
2016-01-14 18:00:00,1.3,4.291666666666667,76.41666666666667,18,4,0,Résidentiel,207,2,0.67,2.43
2016-01-14 19:00:00,1.39,3.75,80.75,19,4,0,Industriel,366,3,1.28,1.3
2016-01-14 20:00:00,0.66,3.65,79.33333333333333,20,4,0,Commercial,390,4,1.49,1.39
2016-01-14 21:00:00,0.7,3.7916666666666665,70.0,21,4,0,Résidentiel,332,1,1.88,0.66
2016-01-14 22:00:00,0.29,2.625,79.16666666666667,22,4,0,Résidentiel,345,5,0.79,0.7
2016-01-14 23:00:00,0.23,1.1500000000000001,92.83333333333333,23,4,0,Résidentiel,267,4,0.25,0.29
2016-01-15 00:00:00,0.32,0.4666666666666666,96.5,0,5,0,Commercial,309,6,0.28,0.23
2016-01-15 01:00:00,0.31,0.16666666666666663,99.58333333333333,1,5,0,Résidentiel,350,3,0.22,0.32
2016-01-15 02:00:00,0.28,0.775,96.08333333333333,2,5,0,Résidentiel,338,3,0.26,0.31
2016-01-15 03:00:00,0.26,1.883333333333333,88.25,3,5,0,Résidentiel,378,3,0.27,0.28
2016-01-15 04:00:00,0.3,2.8249999999999997,80.08333333333333,4,5,0,Commercial,277,4,0.21,0.26
2016-01-15 05:00:00,0.3,3.0833333333333335,74.33333333333333,5,5,0,Commercial,135,3,0.27,0.3
2016-01-15 06:00:00,0.27,3.2000000000000006,73.66666666666667,6,5,0,Commercial,398,6,0.24,0.3
2016-01-15 07:00:00,0.31,3.2000000000000006,76.83333333333333,7,5,0,Commercial,282,4,1.36,0.27
2016-01-15 08:00:00,1.41,3.2000000000000006,78.83333333333333,8,5,0,Résidentiel,350,3,0.96,0.31
2016-01-15 09:00:00,1.24,3.2000000000000006,80.83333333333333,9,5,0,Résidentiel,188,1,1.01,1.41
2016-01-15 10:00:00,0.75,3.4916666666666667,82.0,10,5,0,Commercial,195,1,3.23,1.24
2016-01-15 11:00:00,0.75,3.8166666666666664,84.5,11,5,0,Résidentiel,171,2,1.43,0.75
2016-01-15 12:00:00,1.26,3.783333333333333,87.58333333333333,12,5,0,Résidentiel,217,3,1.7,0.75
2016-01-15 13:00:00,1.18,4.0249999999999995,86.58333333333333,13,5,0,Résidentiel,382,3,0.42,1.26
2016-01-15 14:00:00,0.38,4.325,85.16666666666667,14,5,0,Résidentiel,136,4,0.78,1.18
2016-01-15 15:00:00,0.34,3.3333333333333335,89.0,15,5,0,Résidentiel,129,4,0.31,0.38
2016-01-15 16:00:00,0.34,1.9083333333333332,95.16666666666667,16,5,0,Commercial,150,3,1.85,0.34
2016-01-15 17:00:00,0.59,2.4916666666666667,93.58333333333333,17,5,0,Résidentiel,161,2,2.43,0.34
2016-01-15 18:00:00,1.67,2.733333333333333,93.0,18,5,0,Résidentiel,184,3,1.3,0.59
2016-01-15 19:00:00,1.32,2.5,94.66666666666667,19,5,0,Résidentiel,167,6,1.39,1.67
2016-01-15 20:00:00,1.4,2.375,97.0,20,5,0,Commercial,81,4,0.66,1.32
